latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
42.53802083330999,10.006770833322358,-312.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.007812499989026,-305.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.008854166655693,-300.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.00989583332236,-296.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.010937499989028,-293.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.011979166655696,-286.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.013020833322363,-274.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.01406249998903,-263.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.015104166655698,-255.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.016145833322366,-246.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.017187499989033,-237.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.0182291666557,-231.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.019270833322368,-227.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.020312499989036,-216.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.021354166655703,-198.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.02239583332237,-177.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.023437499989038,-150.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.024479166655706,-142.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.025520833322373,-151.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.02656249998904,-153.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.027604166655708,-149.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.028645833322376,-142.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.029687499989043,-133.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.03072916665571,-126.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.031770833322378,-120.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.032812499989046,-112.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.033854166655713,-102.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.03489583332238,-97.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.035937499989048,-98.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.036979166655716,-97.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.038020833322383,-94.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.03906249998905,-95.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.040104166655718,-98.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.041145833322386,-98.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.042187499989053,-95.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.04322916665572,-94.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.044270833322388,-95.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.045312499989056,-96.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.046354166655723,-96.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.04739583332239,-95.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.048437499989058,-93.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.049479166655725,-93.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.050520833322393,-93.8,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.05156249998906,-94.0,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.052604166655728,-93.6,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.053645833322395,-93.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.054687499989063,-93.2,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.05572916665573,-91.4,1,21758,1,NaN,NaN,NaN
42.53802083330999,10.056770833322398,-90.97266,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.057812499989065,-89.64844,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.058854166655733,-88.45703,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.0598958333224,-87.32422,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.060937499989068,-86.421875,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.061979166655735,-86.03516,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.063020833322403,-84.15234,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.06406249998907,-83.734375,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.065104166655738,-83.984375,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.066145833322405,-83.15625,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.067187499989073,-82.66797,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.06822916665574,-81.53516,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.069270833322408,-81.94922,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.070312499989075,-80.88281,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.071354166655743,-80.25391,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.07239583332241,-79.68359,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.073437499989078,-79.16797,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.074479166655745,-78.171875,3,14341,1,NaN,NaN,NaN
42.53802083330999,10.075520833322413,-77.54297,3,14341,1,NaN,NaN,NaN
