latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
42.21302083331029,10.088020833322423,-149.6,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.08906249998909,-147.0,1,21759,0,-147.0,-147.0,0.0
42.21302083331029,10.090104166655758,-144.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.091145833322425,-142.2,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.092187499989093,-139.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.09322916665576,-137.4,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.094270833322428,-135.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.095312499989095,-133.0,1,21759,0,-133.0,-133.0,0.0
42.21302083331029,10.096354166655763,-131.4,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.09739583332243,-130.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.098437499989098,-127.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.099479166655765,-125.4,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.100520833322433,-121.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.1015624999891,-119.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.102604166655768,-117.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.103645833322435,-117.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.104687499989103,-117.4,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.10572916665577,-116.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.106770833322438,-116.2,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.107812499989105,-115.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.108854166655773,-114.0,1,21759,0,-114.0,-114.0,0.0
42.21302083331029,10.10989583332244,-113.0,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.110937499989108,-112.0,1,21759,0,-112.0,-112.0,0.0
42.21302083331029,10.111979166655775,-112.6,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.113020833322443,-112.6,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.11406249998911,-112.0,1,21759,0,-112.0,-112.0,0.0
42.21302083331029,10.115104166655778,-111.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.116145833322445,-111.8,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.117187499989113,-111.2,1,21759,1,NaN,NaN,NaN
42.21302083331029,10.11822916665578,-110.4,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.088020833322423,-150.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.08906249998909,-147.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.090104166655758,-144.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.091145833322425,-142.6,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.092187499989093,-140.2,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.09322916665576,-138.0,1,21759,0,-138.0,-138.0,0.0
42.214062499976954,10.094270833322428,-136.2,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.095312499989095,-133.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.096354166655763,-132.0,1,21759,0,-132.0,-132.0,0.0
42.214062499976954,10.09739583332243,-130.2,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.098437499989098,-128.2,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.099479166655765,-127.0,1,21759,0,-127.0,-127.0,0.0
42.214062499976954,10.100520833322433,-122.6,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.1015624999891,-118.0,1,21759,0,-118.0,-118.0,0.0
42.214062499976954,10.102604166655768,-118.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.103645833322435,-118.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.104687499989103,-117.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.10572916665577,-118.0,1,21759,0,-118.0,-118.0,0.0
42.214062499976954,10.106770833322438,-117.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.107812499989105,-116.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.108854166655773,-115.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.10989583332244,-114.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.110937499989108,-113.6,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.111979166655775,-114.0,1,21759,0,-114.0,-114.0,0.0
42.214062499976954,10.113020833322443,-113.2,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.11406249998911,-112.6,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.115104166655778,-112.0,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.116145833322445,-111.8,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.117187499989113,-111.4,1,21759,1,NaN,NaN,NaN
42.214062499976954,10.11822916665578,-111.2,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.088020833322423,-150.2,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.08906249998909,-147.2,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.090104166655758,-144.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.091145833322425,-143.0,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.092187499989093,-140.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.09322916665576,-138.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.094270833322428,-136.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.095312499989095,-134.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.096354166655763,-132.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.09739583332243,-131.0,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.098437499989098,-128.4,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.099479166655765,-125.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.100520833322433,-122.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.1015624999891,-119.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.102604166655768,-118.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.103645833322435,-118.4,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.104687499989103,-118.0,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.10572916665577,-117.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.106770833322438,-117.0,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.107812499989105,-116.6,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.108854166655773,-115.4,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.10989583332244,-115.0,1,21759,0,-115.0,-115.0,0.0
42.21510416664362,10.110937499989108,-114.8,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.111979166655775,-114.6,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.113020833322443,-113.6,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.11406249998911,-113.2,1,21759,1,NaN,NaN,NaN
42.21510416664362,10.115104166655778,-112.0,1,21759,0,-112.0,-112.0,0.0
